абазия | abasia, ае / | abaziya
Абдергальдена реакция | Abderhaldeni reactio | Abdergaldenin reaksiyasy
абдоминальный | abdominalis, е | abdominal; g aryn .. . , 1 9 ... garna, i?e degi§li
абдукиор | abductor, oris m | abduktor
абдукция | abductio, onis f | abduksiya
аберрация | aberratio, onis f | aberrasiya
аберрирующий | aberrans, ntis | aberrans, aberrirlyeyji
абиоз | abiosis, is f | abioz
аблефария | ablepharia, ae f | ablefariya
абляция | ablatio, onis f | ablyasiya
аборальный | aboralis, e | aboral
аборт | abortus, us m | abort
- начавшиеся | abortus incipiens | ba§la>i abort
- неполный | abortus incompletus | gutarnyksyz abort
- полный | abortus completus | gutarnykly abort
- преступный, или криминальный | abortus criminalis | kriminal abort
- привычный, или габитуальный | abortus habitualis | endikli ya-da gabitual abort
- спонтанный, или самопроизвольный | abortus spontaneus | spontan ya-da oz-oziinden bolyan abort
- угрожающий | abortus imminens | abort bolmak howpy
абортивное лечение | abortiva, (remedia), n/pl | abortiw bejeri§
абортивные лекарства | abortiva | abortiw; abortiw bejeri§ dermanlary
абортивный | abortivus, is f | abortiw
абразия | abrasio, onis f | abraziya
абразия матки | abrasio cavi uteri | yatgyny gyrmak; yatgynyn abraziyasy
Абрикосова опухоль | Abricosovi tumor | Abrikosowyn ^i§i
абсолютный | absolutus, a, unt | absolyut
абсорбенты, абсорбирующие средства | absorbentia (remedia) n/pl | absorbentler; absorbirleyji seri^deler
абсорбция | absorptio, onis f | absorbsiya; sorma
абстиненция | abstinentia, ae f | abstinensiya, azarlamak
абсцесс | abscessus, us m | absses, irin yygnan yer
- горячий | abscessus calidus | yiti absses
- десны | rarulis, is f | di§ etinin abssesi
- Дугласов | Douglasi abscessus | Duglasowyn abssesi
- заглоточный | abscessus retropharyngealis | damak arka abssesi
- легочный | abscessus pulmonis | oyken abssesi
- перитонзиллярный | abscessus peritonsillaris | Peritonzillyar abssesi
- печени | abscessus hepatis | bagyr abssesi
- поддиафрагмальный, или субдиафрагмальиый | abscessus subphrenicus | diafragma a§agyndaky ya-da subdiafragmal absses
- холодный | abscessus frigidus | hroniki, otii^en absses
- яичника | pyoovarium, ii n | yumurtgalygvn abssesi
абулия | abulia, ae f | abuliya: erksizlik
авиационная медицина | medicina acronautica | awiasiya medisina sj
авирулентный | avirulentus, a um | awirulentli
авитаминоз | avitaminosis. w / | awitaminoz
-в , | beriberi | B, awitaminozy
автоклав | autoclavus, i in | awtoklavv
авульсия | avulsio, onis f | avvulsiya; yolma, ayyrma
агалактия | agalactia, ae f | agalaktiya: gowiis siiydiin bolmazlvgy
агаммаглобулинемия | agammaglobulinaemia, ae f | agammaglobulinemiya
агглютинация | agglutinatio, onis f | agglyutinasiya: yelme^me; birle§me
агглютинины | agglutinina, onun n/pl | agglyutininler
аггравация | aggravatio, onis f | aggrawasiya
аггра ви рова и не | aggravatio, onis f | aggravvasiya; aggrawirleme
агевзпя | ageusia, ae f | agewziya: tagam duyniazlvk
агснезия | agenesia, ae f | ageneziya: bir organyn dogahitdi bolmazlvgy
агнозия | agnosia, ae f | agnoziya: predmet seljermezlik
- тактильная | stereoagnosia, ae f | stereoagnoziya; taktil agnoziya
агония | agonia, ae f | agoniya: olum hal\
агорафобия | agoraphobia, ae f | agorafobiya; yerliksiz gorkma
агранулоцнтарная ангина | agranulocytosis, is f angina agranulocytotica | agranulositar anginasy
агранулоцитоз | agranulocytosis, is f | agranulositoz
аграфия | agraphia, ae f | agrafiya
агрессины | aggressina, onun n/pl | aggressinlcr
адамантннома | adamantinoma, atis n | adamantinoma
Адамово яблоко | prominentia laryngea | bokurdak yunirusy
Адамса-Стокса-Морганьи | Adams-Stokes-Morgagni | Adams-Stoks-Morganyn
синдром | syndronuim | sindromy
адаптационный синдром | syndromum adaptationis | adaptasiya sindromy; uygunla§ma alamatlary
адаптация | adaptatio, onis f | adaptasiya; uygunla^ma
адвентиция | adventitia, ae f | advventisiya
адгезивный | adhaesivus, a um | adgeziw; seple^yan
- перитонит | peritonitis adhaesiva | adgeziw peritonit
адгезия | adhaesio, onis f | adgeziya; seple$me; biti^me
аддисонизм | addisonismus, i m | addisonizni
Аддисонова болезнь | Addissoni morbus | Addisonyn keseli
аддуктор | adductor, oris т | adduktor; ozune Qekiji; yakynla^dyryan, golaya getiryan (my§sa)
аддукция | adductio, о/ 7 /.v / | adduksi a: ozune ^ekme; golayla§dyrma; getirme
адекватный | adaequatus, а ит | den; gabat gelyan; adekwat
аденит | adenitis, tidis f | adenit
аденовирус | adenovirus, i n ( pi adenovira) | adenovirus
аденоидный | adenoideus, a um | adenoitli; adenoid; limfatik diiwne menze§
- габитус | habitus adenoideus | adenoitli nasagyn da§ky ke§bi
- вегетации, аденоидные разращения | vegetationes adenoideae | burun-bokurdak mindalinin ulalmagv
адснокарцинома | adenocarcinoma, atis n | adenokarsinoma
аденома | adenoma, atis n | adenoma
- злокачественная печени | hepatoma, atis n | bagryn howply gepatomasy; ?i§i
- щитовидной железы токсическая | struma basedowificata | galkan gornii^Ii mazin toksiki adenomasy; ^i§Ii
адсномиоз | adenomyosis, is f | adenomioz
адсномиома | adenomyoma, is n | adcnoniioma
аденосаркома почки | tumor VVilmsi | bowrek adtnosarkomasy
аднадохокинез | adiadochokinesis, is J | adiadohokincz
адинамия | adynamia, a e f | adinamiya; hereketsizlik
- аффективная | cataplexia, ae f | katapleksiya; tutgayly adinamiya
адппосир | adipocera, ae f | adiposera; jesedin nuimla$mas}
аднексит | adnexitis, tidis f | adneksit
адреналин | adrenalinum, i n | adrenalin
адреналовая, или хромаффннмая система | systema adi'enale | adrenal ya-da hroinmafin sistemasy
адренальный | adrenalis. e | adrenal
адреналзктомия | adrenalectomia, ac f | adrenalektomiya
адреногенитальный | interrenalismus, i in | adrenogenital
адренокортикостсроиды | corticosteroida, arum, n/pl | adrenokorti kosteroid ler
адренолитические вещества | adrcnolytica (remedia), n/pl | adrenolitik jisimler
адреностероиды | corticosteroida, orum , n/pl | adrenosteroidler
адренергический | adrenergicus, a um | adrenergik
адсорбенты, адсорбирующие вещества | adsorbentia (remedia), n/pl | adsorbentlcr; adsorbirleyji jisimler
адсорбция | adsorptio, onis f | adsorbsiya; sorma
ажнтированное состояние, ажитация | agitatio, onis f | azitasiya; gazaply yagday; tolgunma
азоспермия | azoospermia, ae f | azospermiya; tok; tohumsyz
азот | nitrogenium, i it | azot
азотемия | azotaemia, ae f | azotemiya
Дереы синдром, или болезнь | Ayerza syndromum | Ayersin siudroim ya-da keseli
акантоз | acanthosis, is f | akantoz
акатизия | acathisia, ae f | akatiziya
акклиматизация | acclimatisatio, onis f | akklimatizasiya; klimata uygunla^mak
аккомодация | accomodatio, onis f | akkomodasiya; gozun diirli aralyga uygunla§masy
аккумуляция | accumulatio, onis f | akkumulyasiya; yygnanma; toplanma; yygnama; toplama
акме | acme, es f | akme
акне | acne, es f | akne; irinli duwiirtik
акоазма | acosma, atis n | akoazma; ses gallyusinasiyasy
акория | acoria, ae f | akoriya; gozun gore^sizligi
акродерматит | acrodermatitis, tidis f | akrodermatit
акродиния | acrodynia, ae f | akrodiniya
акромегалия | acromegalia, ae f | akromegaliya; sunklerin proporsional dal osii§i
акромион | acromion, i it | akromion; gerden; geri? sunki; pil^anin yokarky <,ykyndysy
акроневроз | acroneurosis, is f | akronewroz
акропарестезия | acroparaesthesia. ae f | akroparasteziya
акротизм | acrotismus, i m | akrotizm
акроцианоз | acrocyanosis, is f | akrosianoz
аксиллярный | axillaris, e | aksillyar; goltuk . . .
аксон | neuraxon, i n | akson; neyrakson
АКТГ | A C TH (hormonum adrenacorticotropicum) | AKTG;adrenokortikptroply gormonyn gysgaldylan ady
- активная (артериальная, или конгестивная) гиперемия | congestio. onis f | kongestiya; arterial aktiw; ya-da kongestiw giperemiya, gyzarma
активный | activus, a, um | aktiw; i§jen
актиномикоз | actinomycosis, is f | aktinomikoz
актиномицет | aktinomyces, etis m | aktinomiset
актинотерапия | actinotherapia, ae / ; phototherapia, ae f | aktinoterapiya
акупунктура | acupunctura, ae f | akupunktura
акустическая, или шумовая травма | trauma acusticum | akustiki ya-da goh-galmagal §ikesi,trawmasy
акустический | acusticus, a, um | akustiki.. . , ses.. .
акутный | acutus, a, um | akut; guy^lendiriji; yiti
акутравма | trauma acusticum | akustiki §ikes,trawma; ses §ikcsi, trawmasy
акушерка | obstetrix, id s f | akuserka, gobek ene
акушерские щипцы | forceps obstetric (i) a | aku§er gysgy^lary
акушерский | obstetricus, a, um | aku§er. . .
- фантом | phantoma, atis n | akuser fantomy
акушерство | ohstetricia, ae f | akusercilik
акцидентный | accidens, ntis | aksident; totanleyin
